rank,regParam,pk_spark,rmse_time,pk_lightfm,lightfm_time,pk_bpr,bpr_time
10,0.01,2.60E-05,67.19825,2.19E-05,59.92625,2.22E-05,64.43484
20,0.01,0.000136381,67.71065,2.14E-05,64.53654,1.82E-05,65.37152
30,0.01,0.000203822,75.80026,1.93E-05,73.01607,1.93E-05,74.37135
40,0.01,0.000301986,96.59519,2.13E-05,67.46433,2.03E-05,68.85651
50,0.01,0.000346197,122.58772,2.00E-05,78.93602,1.96E-05,78.62235
60,0.01,0.000386662,161.0789,1.80E-05,83.20069,1.66E-05,83.94908
70,0.01,0.000441364,193.87193,2.03E-05,96.41673,2.05E-05,96.65876
80,0.01,0.000473586,297.23198,1.93E-05,89.76761,2.21E-05,95.79974
100,0.01,0.000501311,446.34356,1.80E-05,112.97907,1.72E-05,117.0333
120,0.01,0.000523792,645.40544,2.16E-05,121.33206,1.92E-05,119.70271
140,0.01,0.00055976,748.45799,1.95E-05,135.01664,1.96E-05,144.26476
160,0.01,0.000579993,849.17032,1.77E-05,153.11183,1.74E-05,157.69373
180,0.01,0.000566504,1158.76016,2.56E-05,176.9992,2.29E-05,177.46055
160,0.001,0.000690895,0,1.90E-05,153.94538,2.17E-05,151.32254
160,0.01,0.000579993,0,1.97E-05,142.97807,2.43E-05,158.97416
160,0.05,0.000167853,0,2.68E-05,147.91705,2.59E-05,153.76198
160,0.1,8.77E-05,0,0.000118719,151.39157,1.59E-04,160.20987
160,0.5,1.80E-05,0,0.00042697,420.49977,4.12E-04,434.86954